"file"	"sample"	"sample_name"	"condition"	"replicate"
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Alpha_01.mzML"	"AA_1"	"AA_1"	"A"	1
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Alpha_02.mzML"	"AA_2"	"AA_2"	"A"	2
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Alpha_03.mzML"	"AA_3"	"AA_3"	"A"	3
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Beta_01.mzML"	"AB_1"	"AB_1"	"A"	4
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Beta_02.mzML"	"AB_2"	"AB_2"	"A"	5
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Beta_03.mzML"	"AB_3"	"AB_3"	"A"	6
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Gamma_01.mzML"	"AG_1"	"AG_1"	"A"	7
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Gamma_02.mzML"	"AG_2"	"AG_2"	"A"	8
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_A_Sample_Gamma_03.mzML"	"AG_3"	"AG_3"	"A"	9
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Alpha_01.mzML"	"BA_1"	"BA_1"	"B"	1
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Alpha_02.mzML"	"BA_2"	"BA_2"	"B"	2
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Alpha_03.mzML"	"BA_3"	"BA_3"	"B"	3
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Beta_01.mzML"	"BB_1"	"BB_1"	"B"	4
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Beta_02.mzML"	"BB_2"	"BB_2"	"B"	5
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Beta_03.mzML"	"BB_3"	"BB_3"	"B"	6
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Gamma_01.mzML"	"BG_1"	"BG_1"	"B"	7
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Gamma_02.mzML"	"BG_2"	"BG_2"	"B"	8
"E:\MS_data\PXD028735\LFQ_TTOF6600_DDA_Condition_B_Sample_Gamma_03.mzML"	"BG_3"	"BG_3"	"B"	9
