"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AB_3.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"AG_3.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BB_1.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"	"BG_3.Intensity"
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	4859068	4911658.5	4943642	3985421	5170794.5	5233572	5198780.5	5054264.5	4649695	5075640.5	5369900.5	5357333.5	6026471	5600737.5	5802577.5	5877961	4901372.5	5917239.5
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	3636750.5	3366455	3747648	3349765.5	3308248.8	3607246.8	3481809.5	3550413.8	3296551.2	3576930.2	3490322.5	3482908.8	3415481.5	3416968.5	3611185.2	3484467.5	3463928.8	3302057.5
"sp|A0A804HLA8|GBG5B_HUMAN"	"HUMAN"	320696.06	394217.97	230813.16	375012.5	454567.1	369957.38	420738.53	406046.84	349588.62	228394.72	318861.8	410619.72	259449.39	351953.25	289259.72	309064.22	235848.33	292592.75
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	14616685	14324410	16162292	14864090	13516674	14380611	14898062	13529587	14232515	14353464	15920927	15885327	15599749	15826534	15581571	15821504	15558826	14865349
"sp|A0JLT2|MED19_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	175373.55	110411.36	0	0	0	56012.05
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	447070.75	942404.5	601746.3	817550.25	468265	666313	231214.52	368499.38	650098.75	807060.1	772481.75	1286083.2	1128458.8	1242806.4	1079121.8	718312.1	1016209.44	723636.56
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	414227.06	0	422012.5	503107.22	365438.06	0	425035.4	402164.12	526622.75	308277.22	0	0	481019.56	0	0	592556.1	307684.78	0
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	0	0	195424.88	188512.72	0	158456.9	0	0	0	0	151196.4	116672	0	0	0	0	175834.3	0
"sp|A4D1E1|Z804B_HUMAN"	"HUMAN"	0	0	0	0	8634.503	0	0	0	0	0	12268.527	0	0	0	20170.03	0	0	0
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	0	0	0	0	249768.6	1574580.5	0	0	0	994321.56	1222379.6	1108473.4	1191594.4	1194323.5	1308871.1	1189566.4	1184570.1	1263821.4
"sp|A5PLN9|TPC13_HUMAN"	"HUMAN"	0	300890.12	0	354213.1	0	316489.8	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	3337171.8	3514798	3025542.2	3097927.5	4221831.5	3328102	4205996.5	4232938	5233515	4719100	5400656.5	4544100	5183936	5266190.5	6187906.5	6182631	4204787.5	5295403
"sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	1543845	1576671.2	1644472.8	1462760.2	1568171.5	1589271.2	1555216.8	1651646.2	1648182.6	1661730.2	1552164.5	1587754.2	1500804.5	1528756.5	1590396	1532460.5	1628442.8	1574130.1
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	3159288.8	1166928	3199265	2285310	3221519.5	3197586.8	3497510.2	3398349	4247885.5	2788212.8	4444432	3579373.5	4039058.2	3119414.5	4228028.5	3371912.5	2825583.2	2651268
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	819521.94	904637	311041.28	838871.75	852705.3	1339717.1	1260310	1672786.4	1891741.6	1279141	1879586.8	1606275	1659975.4	746919.25	1638681.5	1974521.6	1312610.1	2703506.2
"sp|A6NGK3|GAG10_HUMAN"	"HUMAN"	0	2365859.5	0	0	0	0	2587639.5	0	0	0	0	0	0	0	0	2535077.5	0	0
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	0	0	4003054	0	0	3194348.5	0	0	3303855	0	0	0	0	11649755	0	0	0	0
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	9739748	7439446.5	8171375	10605804	14711988	9788047	8003141.5	7796143	9004037	9811359	10466181	9747186	9507080	10391012	12246549	9124747	9516211	8687166
"sp|A8MT69|CENPX_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	12310199	12352272	11925220	12405326	12458085	12071068	12691043	12320816	12503930	11484024	11810174	11353085	12044679	11840020	11646346	11064802	11346456	11529718
"sp|B2RXH8|HNRC2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|C4AMC7|WASH3_HUMAN"	"HUMAN"	674563.75	0	0	0	0	0	0	0	488767.75	0	139858.23	0	0	0	0	0	0	0
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	45644356	46118840	47619396	44745836	46220932	46100164	45609556	41600176	42897864	44747604	43681500	44615350	45274276	43819930	43857230	45211916	44325696	43943250
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	606129.94	721213.25	727613.44	771725.75	1056039.8	982042.2	943697.44	1257274.2	872237.94	1372295.8	773038.6	899411.8	721531.9	790101	1085382.8	534031.4	1166337.9	1116756.8
"sp|L0R6Q1|S35U4_HUMAN"	"HUMAN"	0	0	270537.7	0	0	286267.66	0	0	0	0	278954.5	279691.78	327495.72	0	291694.16	275607.94	298567.3	306065.34
"sp|O00116|ADAS_HUMAN"	"HUMAN"	9749197	11043100	11610908	7988411.5	10853604	10805404	11012594	10899354	6166485	9719814	9551192	9641846	10374427	10899827	10093532	10086700	8525432	10475124
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	4729367.5	4309058	4376353.5	2960817.5	3187785.5	3372963	3616269.8	4085746	3668951	2193460.5	2574257.8	1918238.2	4255275.5	2747216.2	3122884.2	1848873	1565083.6	3474761.2
"sp|O00148|DX39A_HUMAN"	"HUMAN"	17125694	18733700	18544264	17970214	19464574	21403550	18025806	19704442	15799944	21513742	20695778	21145582	20863060	22003718	21116282	19618890	19898144	21463902
"sp|O00151|PDLI1_HUMAN"	"HUMAN"	24587154	22916252	21965946	25406008	24206498	24471506	21317774	22311132	26113688	24183540	24188532	24470018	25286438	29125838	24593490	25667618	24080774	21370946
"sp|O00154|BACH_HUMAN"	"HUMAN"	7791724.5	8708997	6984041	5750548.5	8532926	6114518	9129906	5956601	6424300	8666314	6062561	8657138	9355026	8726925	8834809	7466330.5	8971904	5638740
"sp|O00161|SNP23_HUMAN"	"HUMAN"	4361461	1452519.5	3955748.5	2514321.2	4099689.5	2047880.2	4645304	4476363.5	2550983	2517912.8	3032787.5	3505889	3413321.5	3146130.2	2754457.2	3177379.5	3139033.2	3133690
"sp|O00165|HAX1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	1950982.5	0	1363725.8	0	0	186553.67	2684500	2283720.5	2669944.2
"sp|O00170|AIP_HUMAN"	"HUMAN"	2872116.8	2781772	2645522	3236758.2	2707391	3295765	2649313.2	3292493.5	2651956.8	3576279.5	3484958	3457415	3034491	2954657	2614906.8	2835408.8	2660645	3930683.2
"sp|O00178|GTPB1_HUMAN"	"HUMAN"	0	0	530087.1	0	0	0	0	400818.38	0	97244.76	0	0	0	0	0	0	0	1072657.8
"sp|O00193|SMAP_HUMAN"	"HUMAN"	1728097.6	1785945.5	1525309.9	1723498.5	1746615.6	1645326	1739048.2	1750616.5	1595205.2	1651654.8	1677648.5	1589593.1	1757731.5	1626899	1576779.2	1692278.2	1598507.8	1651708.4
"sp|O00203|AP3B1_HUMAN"	"HUMAN"	609473.44	610391.25	657939.6	885434.9	1138750.2	303718.97	265705.9	0	695218.4	869276.5	1856584.5	1178479	1454783.1	976921.9	1138624.2	1263826.5	875270.9	1490360.2
"sp|O00217|NDUS8_HUMAN"	"HUMAN"	2839107.5	2579763.5	2275061.5	3170230.2	2823903.8	1632972.5	1667645.9	3114103	2877506	1200346.2	1373418.5	1184713.5	1819068.1	1167265.1	1212832.5	1187666.9	1877062.8	1761305
"sp|O00231|PSD11_HUMAN"	"HUMAN"	39809030	39799300	38443292	41670336	39310284	39129480	39030948	39684704	39375530	37974404	43101276	42805764	42275040	39203464	37771856	34864400	42111370	39218300
"sp|O00232|PSD12_HUMAN"	"HUMAN"	17031490	16806936	16476057	16306443	17540520	18976008	17003806	17553986	17358496	19382674	18614378	20615222	19012054	20493152	19430194	20434524	20072386	18799800
"sp|O00233|PSMD9_HUMAN"	"HUMAN"	3279886.5	2174868.2	2704120.2	2993709	2530908.2	2937881.8	3220466	2554228	3220226.5	3398981.2	3616666.2	3529593.5	3531664	3216611.5	3172329.5	3114728.2	2486014.8	3809821.5
"sp|O00244|ATOX1_HUMAN"	"HUMAN"	2167079.8	2105381	2402335	2128611.5	2213128	2283235.2	2192852	2258670	2164111.2	2121149.2	2115012	2220644.8	2154419.8	2117270.5	2202768.5	2006641.8	2042800.2	2155289.8
"sp|O00255|MEN1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	157685.27	164478.16	0	146147.34	0	112971.49	0
"sp|O00267|SPT5H_HUMAN"	"HUMAN"	8470579	6235957	8847957	7561321.5	9638767	8403693	8987222	8235617.5	9348344	9890551	7321067.5	8625867	7709028.5	9125819	8275640	8944467	8248962.5	8658248
"sp|O00273|DFFA_HUMAN"	"HUMAN"	2047116.2	462335.3	574966.1	1148848.5	1015015.06	659684.4	3037897.8	1293082.6	1877450.2	1774944.6	1574112.5	2379576.8	2275205	2405961.5	2095909.8	2449630.8	1886673.2	1853990.4
"sp|O00299|CLIC1_HUMAN"	"HUMAN"	304880600	302720030	298243680	300494180	292879400	296293400	299893400	302525440	293100670	298429250	293438620	286674880	290847520	288853700	291917630	299853800	295568860	298619780
"sp|O00303|EIF3F_HUMAN"	"HUMAN"	18338702	14694777	16919740	17722112	17534638	16351765	17267548	17783096	15690817	16985064	16710302	16430543	16386711	17208874	16096894	16297596	15875640	16521395
"sp|O00330|ODPX_HUMAN"	"HUMAN"	3560933.8	0	622513.4	3742523.5	0	0	0	0	4225147.5	3115484.5	3055910.8	599427.1	3859245	504297.56	0	613624.8	3983699	492219.12
"sp|O00410|IPO5_HUMAN"	"HUMAN"	42440068	40456016	40091108	42760084	39163212	43085428	41099588	41207460	40384000	42412504	42651024	42108010	45394560	43794132	45590900	43954656	42199268	42788630
