"file"	"sample"	"sample_name"	"condition"	"replicate"
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw"	"AA_1"	"AA_1"	"A"	1
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw"	"AA_2"	"AA_2"	"A"	2
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw"	"AA_3"	"AA_3"	"A"	3
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_04.raw"	"AA_4"	"AA_4"	"A"	4
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01.raw"	"AB_1"	"AB_1"	"A"	5
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_02.raw"	"AB_2"	"AB_2"	"A"	6
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_03.raw"	"AB_3"	"AB_3"	"A"	7
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_04.raw"	"AB_4"	"AB_4"	"A"	8
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01.raw"	"AG_1"	"AG_1"	"A"	9
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_02.raw"	"AG_2"	"AG_2"	"A"	10
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_03.raw"	"AG_3"	"AG_3"	"A"	11
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_04.raw"	"AG_4"	"AG_4"	"A"	12
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw"	"BA_1"	"BA_1"	"B"	1
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw"	"BA_2"	"BA_2"	"B"	2
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw"	"BA_3"	"BA_3"	"B"	3
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_04.raw"	"BA_4"	"BA_4"	"B"	4
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01.raw"	"BB_1"	"BB_1"	"B"	5
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_02.raw"	"BB_2"	"BB_2"	"B"	6
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_03.raw"	"BB_3"	"BB_3"	"B"	7
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_04.raw"	"BB_4"	"BB_4"	"B"	8
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01.raw"	"BG_1"	"BG_1"	"B"	9
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_02.raw"	"BG_2"	"BG_2"	"B"	10
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_03.raw"	"BG_3"	"BG_3"	"B"	11
"E:\MS_data\PXD028735\LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_04.raw"	"BG_4"	"BG_4"	"B"	12
