"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AA_4.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AB_3.Intensity"	"AB_4.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"AG_3.Intensity"	"AG_4.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BA_4.Intensity"	"BB_1.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BB_4.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"	"BG_3.Intensity"	"BG_4.Intensity"
"sp|A0A024R1R8|TMA7B_HUMAN"	"HUMAN"	167991170	185441780	167782670	170268420	186482200	172392830	210302460	173056530	183062700	174518580	171118160	178133870	136746130	168280830	152762610	163871330	167024820	0	167785000	167348940	0	154539630	157660100	179641250
"sp|A0A024RBG1|NUD4B_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A0A096LP01|SIM26_HUMAN"	"HUMAN"	0	0	0	0	4118497.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	1393939000	1270831600	1416235600	1054880900	1234172000	1472606000	1453821300	1346244100	1417676300	1296373400	1524693200	1154104700	1572551700	1310031700	1418789800	1309588600	902320640	1207647000	1230120800	1045425150	1150665500	1331861500	948502340	1293996400
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	179677070	214761220	51352628	74294460	214175040	96815830	71064650	58055004	182686450	64683356	47682190	45412990	277554880	79045780	50541416	0	222169460	98507380	54823756	73356900	133897736	54934290	97534400	91401080
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	1747180000	1694053200	2004656400	1557786600	1790537100	2073108900	2283714600	1631029400	1488543500	2295941000	1829436400	1641386400	2704222000	1685581600	2416933600	1566327900	1572603100	2025713500	1573080800	1471606300	1833338900	1941703700	1872823600	1240007400
"sp|A0FGR8|ESYT2_HUMAN"	"HUMAN"	14979562	34291380	85783550	19286332	43041132	32897244	6668792	13287628	7855848	0	11662170	14103723	96197170	24106120	28912716	22179594	84161640	28492460	11044788	13523160	46408956	34339384	14966587	0
"sp|A0JLT2|MED19_HUMAN"	"HUMAN"	146771470	16433354	0	7271097	152973550	116280900	44766640	0	147366190	0	110510696	39051710	119306620	126869384	45315420	145388980	0	0	148784430	1985820.1	1304057.1	0	0	0
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	101245750	132666980	272696640	419939870	157199260	285838530	303995100	247048540	95546584	101953820	214187170	83403100	161683920	117691320	281457950	288672480	145485230	154070200	196135520	365703230	24049008	319861660	278533820	313034700
"sp|A1KXE4|F168B_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A1L020|MEX3A_HUMAN"	"HUMAN"	9646080	0	0	14573718	0	11747855	0	16654113	16762759	10268485	13541067	0	0	11554160	13239670	0	14917111	10143426	16728031	18310380	14249478	11687068	17774974	14015848
"sp|A2RRD8|ZN320_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
