"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"
"sp|A0A024RBG1|NUD4B_HUMAN"	"HUMAN"	61260.066	0	0	36164.24	0	0	0	87876.59	0	0	0	50174.613	0	0
"sp|A0A075B767|PAL4H_HUMAN"	"HUMAN"	0	39689.73	32323.822	37512.434	15952.814	0	14074.9	26480.715	0	0	39698.24	37663.645	0	0
"sp|A0A096LP01|SIM26_HUMAN"	"HUMAN"	109620.41	90083.97	78906.99	126909.38	89393.39	82042.84	106743.82	107623.82	77493.06	80021.92	82592.25	110774.04	86150.34	109797.89
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	4931089	5396546	5446754.5	5368984	5921857	5093621.5	5704526	4607046.5	5082659.5	5004430	5371921	5647467.5	5105292	5161672
"sp|A0A0U1RRE5|NBDY_HUMAN"	"HUMAN"	0	41216.797	0	39921.758	45834.797	41269.617	43237.605	32528.824	36755.53	0	0	43330.695	40440.066	41750.95
"sp|A0A0U1RRL7|MMPOS_HUMAN"	"HUMAN"	145777.6	165402.67	46370.832	169830.44	39273.97	158486.16	189560.64	169438.69	162047.19	155203.84	161379.23	133667	130110.64	164314.08
"sp|A0A1B0GUS4|UB2L5_HUMAN"	"HUMAN"	411362.28	246379.42	271109.88	204971.56	183391.77	146060.08	233963.19	47375.625	342699.53	261466.47	124308.984	128770.73	2128.0474	132261.33
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	460561.84	639400.4	612291.1	463702.8	456549.84	734791.25	666755.7	895974.8	731706.06	870408.75	651043.9	500096.97	598997.1	620431.1
"sp|A0AV96|RBM47_HUMAN"	"HUMAN"	254132.31	440825.44	473686.38	451453.56	409623.97	147192.3	402720.47	293874.7	300722.2	353219.38	110837.3	245231.62	404229.97	311980.66
"sp|A0AVK6|E2F8_HUMAN"	"HUMAN"	42111.93	0	52344.562	56232.805	36187.49	71542.46	47910.168	0	0	0	0	22662.234	37706.81	30539.412
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	12643493	12062216	10531603	8879551	10920798	8085959	10746911	13713115	12718098	12824646	8972000	8436137	9423474	12734226
"sp|A0FGR8|ESYT2_HUMAN"	"HUMAN"	2173164	2325148	775216.7	2062783.2	2139829	735892.8	2151965.2	2711530.5	2203542	662197.06	954834.5	1008120.5	2242425.8	1254688.1
"sp|A0JLT2|MED19_HUMAN"	"HUMAN"	271164.72	277409.84	310823.88	279048.03	251266.78	249799.33	1466604.6	289508.7	279879.3	267770.97	321637.8	860684.75	311608.6	915114.4
"sp|A0JNW5|BLT3B_HUMAN"	"HUMAN"	1036971.06	1019110.25	1417629.8	1329349.6	1625352	1337589.9	1452137.2	848024.1	862043.7	1053640.6	948365.75	94681.93	981970.9	1098338.8
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	1071783.4	1372638.2	1253427.5	1133869.9	1290167.8	1219820.2	1140846.2	1252802.5	1437407.1	1261016.1	1228414.2	1276034.4	1297927.4	1110271.4
